DATAFLOW,UNIT_MEASURE,MEASURE,FREQ,ECOICOP_1999,BASE_PERIOD,ECOICOP_2018,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,DECIMALS,COMMENT_DSET,COMMENT_OBS,COMMENT_TS
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2018-12,99.72,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-01,99.8,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-02,100.23,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-03,101.11,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-04,99.81,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-05,101.53,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-06,100.77,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-07,100.66,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-08,100.97,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-09,101.03,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-10,100.85,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-11,100.89,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2019-12,100.96,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-01,101.43,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-02,102.24,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-03,103.07,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-04,104.37,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-05,103.82,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-06,103.13,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-07,104.11,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-08,104.42,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-09,103.97,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-10,103.93,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-11,101.89,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2020-12,103.51,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-01,103.74,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-02,103.3,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-03,104.23,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-04,102.73,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-05,104.38,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-06,104.13,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-07,103.73,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-08,104.67,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-09,103.72,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-10,104.36,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-11,104.43,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2021-12,104.5,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-01,104.21,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-02,105.35,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-03,107.09,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-04,106.76,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-05,109.31,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-06,109.15,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-07,110.63,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-08,112.25,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-09,111.32,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-10,112.99,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-11,114.1,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2022-12,117.95,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2023-01,120.2,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2023-02,126.13,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2023-03,129.2,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2023-04,128.52,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2023-05,129.91,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2023-06,130.32,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2023-07,129.9,0,,2,ECOICOP,,
